date,season,Region,PM,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
2015-01-02T06:00:00Z,Winter,Dongsi,5,-18,35,1031,-5,cv,0.89,0,0
2015-01-02T07:00:00Z,Winter,Dongsi,3,-17,44,1031,-7,NE,1.79,0,0
2015-01-02T08:00:00Z,Winter,Dongsi,3,-17,41,1032,-6,NW,3.13,0,0
2015-01-02T09:00:00Z,Winter,Dongsi,8,-15,33,1033,-1,cv,0.89,0,0
2015-01-02T10:00:00Z,Winter,Dongsi,11,-18,24,1033,0,NE,3.13,0,0
2015-01-02T11:00:00Z,Winter,Dongsi,8,-18,21,1032,2,NE,6.26,0,0
2015-01-02T12:00:00Z,Winter,Dongsi,9,-19,18,1031,3,NE,10.28,0,0
2015-01-02T13:00:00Z,Winter,Dongsi,9,-18,17,1030,5,NE,12.07,0,0
2015-01-02T14:00:00Z,Winter,Dongsi,12,-19,15,1029,5,SE,1.79,0,0
2015-01-02T15:00:00Z,Winter,Dongsi,28,-19,15,1029,5,SE,4.92,0,0
2015-01-02T16:00:00Z,Winter,Dongsi,55,-18,18,1028,4,SE,8.05,0,0
2015-01-02T19:00:00Z,Winter,Dongsi,66,-18,22,1028,1,SE,1.79,0,0
2015-01-02T20:00:00Z,Winter,Dongsi,115,-17,24,1027,1,SE,4.92,0,0
2015-01-02T21:00:00Z,Winter,Dongsi,131,-16,33,1027,-2,SE,6.71,0,0
2015-01-02T22:00:00Z,Winter,Dongsi,143,-15,39,1026,-3,SE,7.6,0,0
2015-01-02T23:00:00Z,Winter,Dongsi,159,-15,42,1025,-4,cv,0.89,0,0
2015-01-03T00:00:00Z,Winter,Dongsi,170,-15,45,1024,-5,cv,1.34,0,0
2015-01-03T01:00:00Z,Winter,Dongsi,185,-15,48,1023,-6,SE,1.79,0,0
2015-01-03T02:00:00Z,Winter,Dongsi,205,-16,48,1023,-7,cv,0.89,0,0
2015-01-03T03:00:00Z,Winter,Dongsi,224,-15,57,1022,-8,SE,1.79,0,0
2015-01-03T04:00:00Z,Winter,Dongsi,192,-15,57,1021,-8,NE,0.89,0,0
2015-01-03T05:00:00Z,Winter,Dongsi,189,-14,57,1020,-7,NE,1.78,0,0
2015-01-03T06:00:00Z,Winter,Dongsi,203,-13,62,1020,-7,NW,0.89,0,0
2015-01-03T07:00:00Z,Winter,Dongsi,190,-13,53,1019,-5,cv,0.89,0,0
2015-01-03T08:00:00Z,Winter,Dongsi,177,-13,53,1019,-5,cv,1.78,0,0
2015-01-03T09:00:00Z,Winter,Dongsi,154,-12,53,1019,-4,NW,0.89,0,0
2015-01-03T10:00:00Z,Winter,Dongsi,136,-12,46,1018,-2,NE,0.89,0,0
2015-01-03T11:00:00Z,Winter,Dongsi,152,-12,42,1017,-1,NE,2.68,0,0
2015-01-03T12:00:00Z,Winter,Dongsi,172,-14,31,1016,1,cv,0.89,0,0
2015-01-03T13:00:00Z,Winter,Dongsi,180,-14,29,1015,2,cv,1.78,0,0
2015-01-03T14:00:00Z,Winter,Dongsi,184,-14,27,1014,3,cv,2.67,0,0
2015-01-03T15:00:00Z,Winter,Dongsi,172,-14,27,1014,3,cv,3.56,0,0
2015-01-03T16:00:00Z,Winter,Dongsi,166,-15,25,1014,3,SE,1.79,0,0
2015-01-03T17:00:00Z,Winter,Dongsi,222,-15,31,1014,0,NE,0.89,0,0
2015-01-03T18:00:00Z,Winter,Dongsi,245,-13,42,1014,-2,cv,0.89,0,0
2015-01-03T19:00:00Z,Winter,Dongsi,266,-13,49,1015,-4,cv,1.78,0,0
2015-01-03T20:00:00Z,Winter,Dongsi,286,-11,58,1015,-4,cv,2.67,0,0
2015-01-03T21:00:00Z,Winter,Dongsi,294,-12,53,1015,-4,cv,3.12,0,0
2015-01-03T22:00:00Z,Winter,Dongsi,304,-12,62,1015,-6,cv,4.01,0,0
2015-01-03T23:00:00Z,Winter,Dongsi,276,-13,62,1015,-7,NW,1.79,0,0
2015-01-04T00:00:00Z,Winter,Dongsi,269,-13,62,1015,-7,NW,3.58,0,0
2015-01-04T01:00:00Z,Winter,Dongsi,227,-13,62,1015,-7,NW,6.71,0,0
2015-01-04T02:00:00Z,Winter,Dongsi,247,-13,57,1015,-6,NW,9.84,0,0
2015-01-04T03:00:00Z,Winter,Dongsi,198,-13,57,1016,-6,NW,12.97,0,0
2015-01-04T04:00:00Z,Winter,Dongsi,145,-14,49,1016,-5,NW,14.76,0,0
2015-01-04T05:00:00Z,Winter,Dongsi,115,-14,57,1015,-7,NE,1.79,0,0
2015-01-04T06:00:00Z,Winter,Dongsi,116,-14,61,1015,-8,NW,4.02,0,0
2015-01-04T07:00:00Z,Winter,Dongsi,149,-14,53,1016,-6,NE,1.79,0,0
2015-01-04T08:00:00Z,Winter,Dongsi,126,-13,49,1016,-4,cv,1.79,0,0
2015-01-04T09:00:00Z,Winter,Dongsi,109,-12,42,1017,-1,SE,3.13,0,0
2015-01-04T10:00:00Z,Winter,Dongsi,141,-14,33,1018,0,SE,4.92,0,0
2015-01-04T11:00:00Z,Winter,Dongsi,95,-14,27,1018,3,cv,0.89,0,0
2015-01-04T12:00:00Z,Winter,Dongsi,95,-14,22,1017,6,NW,1.79,0,0
2015-01-04T13:00:00Z,Winter,Dongsi,101,-14,19,1016,8,cv,0.89,0,0
2015-01-04T14:00:00Z,Winter,Dongsi,122,-13,20,1016,8,SE,1.79,0,0
2015-01-04T15:00:00Z,Winter,Dongsi,167,-14,19,1016,8,SE,4.92,0,0
2015-01-04T16:00:00Z,Winter,Dongsi,196,-13,24,1016,6,SE,6.71,0,0
2015-01-04T17:00:00Z,Winter,Dongsi,212,-13,25,1016,5,SE,9.84,0,0
2015-01-04T18:00:00Z,Winter,Dongsi,286,-12,30,1016,4,cv,0.89,0,0
2015-01-04T19:00:00Z,Winter,Dongsi,327,-11,40,1016,1,NE,0.89,0,0
2015-01-04T20:00:00Z,Winter,Dongsi,345,-10,43,1017,1,cv,0.89,0,0
2015-01-04T21:00:00Z,Winter,Dongsi,332,-9,50,1018,0,NE,0.89,0,0
2015-01-04T22:00:00Z,Winter,Dongsi,251,-9,47,1017,1,cv,0.89,0,0
2015-01-04T23:00:00Z,Winter,Dongsi,245,-9,50,1017,0,cv,1.34,0,0
2015-01-05T00:00:00Z,Winter,Dongsi,188,-9,47,1017,1,cv,2.23,0,0
2015-01-05T01:00:00Z,Winter,Dongsi,144,-9,43,1017,2,cv,3.12,0,0
2015-01-05T02:00:00Z,Winter,Dongsi,148,-9,50,1017,0,cv,3.57,0,0
2015-01-05T03:00:00Z,Winter,Dongsi,149,-9,47,1016,1,cv,4.02,0,0
2015-01-05T04:00:00Z,Winter,Dongsi,130,-8,58,1015,-1,cv,4.91,0,0
2015-01-05T05:00:00Z,Winter,Dongsi,187,-8,54,1015,0,NW,0.89,0,0
2015-01-05T06:00:00Z,Winter,Dongsi,194,-7,63,1016,-1,cv,0.89,0,0
2015-01-05T07:00:00Z,Winter,Dongsi,169,-7,59,1015,0,NW,3.13,0,0
2015-01-05T09:00:00Z,Winter,Dongsi,143,-9,40,1016,3,NW,6.71,0,0
2015-01-05T12:00:00Z,Winter,Dongsi,26,-9,26,1017,9,NE,3.13,0,0
2015-01-05T13:00:00Z,Winter,Dongsi,25,-12,18,1017,11,NW,4.92,0,0
2015-01-05T14:00:00Z,Winter,Dongsi,16,-14,16,1018,10,NW,13.86,0,0
2015-01-05T15:00:00Z,Winter,Dongsi,9,-14,18,1019,9,NW,22.8,0,0
2015-01-05T16:00:00Z,Winter,Dongsi,10,-16,16,1021,8,NW,29.95,0,0
2015-01-05T17:00:00Z,Winter,Dongsi,6,-19,15,1023,5,NW,39.78,0,0
2015-01-05T18:00:00Z,Winter,Dongsi,5,-18,18,1024,4,NW,47.83,0,0
2015-01-05T19:00:00Z,Winter,Dongsi,7,-21,15,1026,3,NW,56.77,0,0
2015-01-05T20:00:00Z,Winter,Dongsi,6,-22,16,1027,1,NW,65.71,0,0
2015-01-05T21:00:00Z,Winter,Dongsi,3,-23,14,1028,1,NW,74.65,0,0
2015-01-05T22:00:00Z,Winter,Dongsi,5,-23,15,1028,0,NW,85.83,0,0
2015-01-05T23:00:00Z,Winter,Dongsi,8,-24,15,1029,-1,NW,93.88,0,0
2015-01-06T00:00:00Z,Winter,Dongsi,6,-24,20,1029,-5,NW,99.69,0,0
2015-01-06T01:00:00Z,Winter,Dongsi,6,-24,19,1030,-4,NW,106.84,0,0
2015-01-06T02:00:00Z,Winter,Dongsi,5,-23,18,1030,-2,NW,114.89,0,0
2015-01-06T03:00:00Z,Winter,Dongsi,6,-24,19,1030,-4,NE,1.79,0,0
2015-01-06T04:00:00Z,Winter,Dongsi,5,-23,22,1030,-5,NE,3.58,0,0
2015-01-06T05:00:00Z,Winter,Dongsi,6,-22,21,1030,-3,NW,4.92,0,0
2015-01-06T06:00:00Z,Winter,Dongsi,9,-23,24,1029,-6,cv,0.89,0,0
2015-01-06T07:00:00Z,Winter,Dongsi,8,-23,24,1029,-6,cv,1.78,0,0
2015-01-06T08:00:00Z,Winter,Dongsi,9,-21,23,1030,-3,NW,1.79,0,0
2015-01-06T09:00:00Z,Winter,Dongsi,10,-19,22,1030,0,NW,5.81,0,0
2015-01-06T10:00:00Z,Winter,Dongsi,15,-22,17,1029,0,NE,3.13,0,0
2015-01-06T11:00:00Z,Winter,Dongsi,10,-22,13,1028,3,NW,5.81,0,0
2015-01-06T12:00:00Z,Winter,Dongsi,12,-22,12,1027,4,NW,12.96,0,0
2015-01-06T13:00:00Z,Winter,Dongsi,23,-22,12,1026,5,NW,20.11,0,0
2015-01-06T14:00:00Z,Winter,Dongsi,26,-21,12,1025,6,NW,27.26,0,0
2015-01-06T15:00:00Z,Winter,Dongsi,32,-21,13,1025,5,SE,4.02,0,0
2015-01-06T16:00:00Z,Winter,Dongsi,47,-21,13,1025,5,SE,8.94,0,0
2015-01-06T17:00:00Z,Winter,Dongsi,57,-21,15,1025,3,SE,12.96,0,0
2015-01-06T18:00:00Z,Winter,Dongsi,56,-22,13,1026,3,SE,16.09,0,0
2015-01-06T19:00:00Z,Winter,Dongsi,84,-21,16,1026,2,SE,19.22,0,0
2015-01-06T20:00:00Z,Winter,Dongsi,103,-18,28,1026,-2,SE,21.01,0,0
2015-01-06T21:00:00Z,Winter,Dongsi,100,-20,17,1026,2,NW,3.13,0,0
2015-01-06T22:00:00Z,Winter,Dongsi,107,-18,38,1026,-6,NW,4.92,0,0
2015-01-06T23:00:00Z,Winter,Dongsi,120,-17,35,1027,-4,cv,0.89,0,0
2015-01-07T00:00:00Z,Winter,Dongsi,111,-17,48,1027,-8,NW,3.13,0,0
2015-01-07T01:00:00Z,Winter,Dongsi,111,-17,38,1027,-5,NW,4.02,0,0
2015-01-07T02:00:00Z,Winter,Dongsi,105,-17,44,1027,-7,NW,7.15,0,0
2015-01-07T03:00:00Z,Winter,Dongsi,63,-17,44,1027,-7,NW,10.28,0,0
2015-01-07T04:00:00Z,Winter,Dongsi,26,-17,44,1027,-7,NW,12.07,0,0
2015-01-07T05:00:00Z,Winter,Dongsi,16,-17,44,1027,-7,NW,13.86,0,0
2015-01-07T06:00:00Z,Winter,Dongsi,15,-14,61,1028,-8,cv,0.89,0,0
2015-01-07T07:00:00Z,Winter,Dongsi,20,-17,44,1028,-7,NW,1.79,0,0
2015-01-07T08:00:00Z,Winter,Dongsi,22,-15,57,1030,-8,NE,1.79,0,0
2015-01-07T09:00:00Z,Winter,Dongsi,33,-15,39,1031,-3,NW,1.79,0,0
2015-01-07T10:00:00Z,Winter,Dongsi,47,-18,22,1031,1,cv,0.89,0,0
2015-01-07T11:00:00Z,Winter,Dongsi,58,-19,19,1031,2,cv,1.78,0,0
2015-01-07T12:00:00Z,Winter,Dongsi,50,-20,16,1030,3,SE,1.79,0,0
2015-01-07T13:00:00Z,Winter,Dongsi,63,-20,16,1030,3,SE,3.58,0,0
2015-01-07T14:00:00Z,Winter,Dongsi,61,-20,16,1030,3,SE,5.37,0,0
2015-01-07T15:00:00Z,Winter,Dongsi,66,-20,16,1030,3,cv,0.89,0,0
2015-01-07T16:00:00Z,Winter,Dongsi,73,-20,16,1031,3,cv,1.78,0,0
2015-01-07T17:00:00Z,Winter,Dongsi,75,-20,20,1031,0,SE,0.89,0,0
2015-01-07T18:00:00Z,Winter,Dongsi,65,-17,30,1031,-2,cv,0.45,0,0
2015-01-07T19:00:00Z,Winter,Dongsi,65,-15,42,1031,-4,cv,1.34,0,0
2015-01-07T20:00:00Z,Winter,Dongsi,67,-15,42,1032,-4,SE,0.89,0,0
2015-01-07T21:00:00Z,Winter,Dongsi,92,-10,58,1032,-3,SE,2.68,0,0
2015-01-07T22:00:00Z,Winter,Dongsi,75,-10,67,1031,-5,cv,0.89,0,0
2015-01-07T23:00:00Z,Winter,Dongsi,69,-13,62,1032,-7,SE,1.79,0,0
2015-01-08T00:00:00Z,Winter,Dongsi,60,-10,67,1032,-5,cv,0.89,0,0
2015-01-08T01:00:00Z,Winter,Dongsi,67,-10,67,1032,-5,SE,0.89,0,0
2015-01-08T02:00:00Z,Winter,Dongsi,86,-11,73,1032,-7,NE,0.89,0,0
2015-01-08T03:00:00Z,Winter,Dongsi,104,-10,67,1032,-5,NE,2.68,0,0
2015-01-08T04:00:00Z,Winter,Dongsi,135,-11,67,1031,-6,cv,0.89,0,0
2015-01-08T05:00:00Z,Winter,Dongsi,156,-11,67,1031,-6,cv,1.78,0,0
2015-01-08T06:00:00Z,Winter,Dongsi,161,-12,72,1031,-8,NW,3.13,0,0
2015-01-08T07:00:00Z,Winter,Dongsi,147,-14,78,1032,-11,NE,1.79,0,0
2015-01-08T08:00:00Z,Winter,Dongsi,96,-14,61,1032,-8,NW,1.79,0,0
2015-01-08T09:00:00Z,Winter,Dongsi,91,-12,57,1032,-5,NW,3.58,0,0
2015-01-08T10:00:00Z,Winter,Dongsi,78,-12,46,1031,-2,NW,5.37,0,0
2015-01-08T11:00:00Z,Winter,Dongsi,84,-13,34,1031,1,NW,7.16,0,0
2015-01-08T12:00:00Z,Winter,Dongsi,90,-13,34,1029,1,NW,8.95,0,0
2015-01-08T13:00:00Z,Winter,Dongsi,128,-13,29,1028,3,cv,0.89,0,0
2015-01-08T14:00:00Z,Winter,Dongsi,150,-14,23,1027,5,cv,2.68,0,0
2015-01-08T15:00:00Z,Winter,Dongsi,140,-11,30,1027,5,SE,3.13,0,0
2015-01-08T16:00:00Z,Winter,Dongsi,168,-10,32,1027,5,SE,4.92,0,0
2015-01-08T17:00:00Z,Winter,Dongsi,182,-11,37,1027,2,cv,0.89,0,0
2015-01-08T18:00:00Z,Winter,Dongsi,193,-10,46,1027,0,cv,1.78,0,0
2015-01-08T19:00:00Z,Winter,Dongsi,188,-10,58,1028,-3,NE,1.79,0,0
2015-01-08T20:00:00Z,Winter,Dongsi,199,-10,58,1028,-3,cv,0.89,0,0
2015-01-08T21:00:00Z,Winter,Dongsi,292,-12,57,1028,-5,cv,1.78,0,0
2015-01-08T22:00:00Z,Winter,Dongsi,335,-12,57,1028,-5,NW,1.79,0,0
2015-01-08T23:00:00Z,Winter,Dongsi,282,-11,62,1028,-5,NW,2.68,0,0
2015-01-09T00:00:00Z,Winter,Dongsi,222,-12,62,1029,-6,NW,5.81,0,0
2015-01-09T01:00:00Z,Winter,Dongsi,203,-11,58,1029,-4,NW,8.94,0,0
2015-01-09T02:00:00Z,Winter,Dongsi,190,-11,62,1029,-5,NW,10.73,0,0
2015-01-09T03:00:00Z,Winter,Dongsi,126,-12,67,1029,-7,NW,13.86,0,0
2015-01-09T04:00:00Z,Winter,Dongsi,57,-11,58,1029,-4,NW,17.88,0,0
2015-01-09T05:00:00Z,Winter,Dongsi,30,-12,57,1029,-5,NW,18.77,0,0
2015-01-09T06:00:00Z,Winter,Dongsi,9,-14,57,1029,-7,NE,1.79,0,0
2015-01-09T07:00:00Z,Winter,Dongsi,6,-13,49,1030,-4,NW,4.02,0,0
2015-01-09T08:00:00Z,Winter,Dongsi,8,-14,45,1030,-4,NW,7.15,0,0
2015-01-09T09:00:00Z,Winter,Dongsi,10,-13,39,1031,-1,NW,12.07,0,0
2015-01-09T10:00:00Z,Winter,Dongsi,10,-16,24,1032,2,NW,15.2,0,0
2015-01-09T11:00:00Z,Winter,Dongsi,8,-17,18,1031,5,NW,18.33,0,0
2015-01-09T12:00:00Z,Winter,Dongsi,7,-18,17,1030,5,NW,27.27,0,0
2015-01-09T13:00:00Z,Winter,Dongsi,7,-18,15,1029,6,NW,34.42,0,0
2015-01-09T14:00:00Z,Winter,Dongsi,7,-18,14,1028,7,NW,41.57,0,0
2015-01-09T15:00:00Z,Winter,Dongsi,7,-18,14,1028,7,NW,47.38,0,0
2015-01-09T16:00:00Z,Winter,Dongsi,7,-17,16,1028,7,NW,53.19,0,0
2015-01-09T17:00:00Z,Winter,Dongsi,5,-17,17,1028,6,NW,58.11,0,0
2015-01-09T18:00:00Z,Winter,Dongsi,61,-17,16,1028,7,NW,61.24,0,0
2015-01-09T19:00:00Z,Winter,Dongsi,119,-16,24,1028,2,cv,0.89,0,0
2015-01-09T20:00:00Z,Winter,Dongsi,162,-14,36,1027,-1,cv,1.34,0,0
2015-01-09T21:00:00Z,Winter,Dongsi,273,-14,45,1027,-4,cv,2.23,0,0
2015-01-09T22:00:00Z,Winter,Dongsi,289,-13,53,1027,-5,cv,2.68,0,0
2015-01-09T23:00:00Z,Winter,Dongsi,310,-13,49,1026,-4,cv,3.57,0,0
2015-01-10T00:00:00Z,Winter,Dongsi,281,-14,49,1026,-5,NW,1.79,0,0
2015-01-10T01:00:00Z,Winter,Dongsi,295,-14,57,1026,-7,cv,0.89,0,0
2015-01-10T02:00:00Z,Winter,Dongsi,320,-13,57,1025,-6,NW,0.89,0,0
2015-01-10T03:00:00Z,Winter,Dongsi,323,-14,53,1025,-6,NW,1.78,0,0
2015-01-10T04:00:00Z,Winter,Dongsi,306,-14,61,1024,-8,NW,3.57,0,0
2015-01-10T05:00:00Z,Winter,Dongsi,264,-15,61,1024,-9,cv,0.89,0,0
2015-01-10T06:00:00Z,Winter,Dongsi,237,-14,57,1023,-7,cv,1.78,0,0
2015-01-10T07:00:00Z,Winter,Dongsi,218,-14,67,1023,-9,cv,2.67,0,0
2015-01-10T08:00:00Z,Winter,Dongsi,195,-14,61,1023,-8,cv,3.56,0,0
2015-01-10T09:00:00Z,Winter,Dongsi,192,-12,53,1024,-4,SE,0.89,0,0
2015-01-10T10:00:00Z,Winter,Dongsi,200,-12,39,1023,0,cv,0.89,0,0
2015-01-10T11:00:00Z,Winter,Dongsi,116,-14,27,1022,3,cv,1.78,0,0
2015-01-10T12:00:00Z,Winter,Dongsi,130,-13,19,1021,9,cv,3.57,0,0
2015-01-10T13:00:00Z,Winter,Dongsi,197,-14,14,1019,12,NW,4.02,0,0
2015-01-10T14:00:00Z,Winter,Dongsi,74,-16,11,1019,13,NW,11.17,0,0
2015-01-10T15:00:00Z,Winter,Dongsi,82,-16,12,1019,12,NW,20.11,0,0
2015-01-10T16:00:00Z,Winter,Dongsi,103,-15,13,1019,12,NW,28.16,0,0
2015-01-10T17:00:00Z,Winter,Dongsi,89,-17,12,1020,11,NW,33.97,0,0
2015-01-10T18:00:00Z,Winter,Dongsi,177,-16,13,1020,11,SE,4.02,0,0
2015-01-10T19:00:00Z,Winter,Dongsi,226,-16,15,1021,9,NW,3.13,0,0
2015-01-10T20:00:00Z,Winter,Dongsi,265,-15,27,1022,2,cv,0.89,0,0
2015-01-10T21:00:00Z,Winter,Dongsi,246,-14,39,1022,-2,NW,1.79,0,0
2015-01-10T22:00:00Z,Winter,Dongsi,114,-15,20,1024,6,NE,4.92,0,0
2015-01-10T23:00:00Z,Winter,Dongsi,25,-16,18,1025,6,NE,9.84,0,0
2015-01-11T00:00:00Z,Winter,Dongsi,5,-15,21,1026,5,NE,14.76,0,0
2015-01-11T01:00:00Z,Winter,Dongsi,3,-14,25,1027,4,NE,20.57,0,0
2015-01-11T02:00:00Z,Winter,Dongsi,3,-14,27,1028,3,NE,26.38,0,0
2015-01-11T03:00:00Z,Winter,Dongsi,3,-15,25,1029,3,NE,31.3,0,0
2015-01-11T04:00:00Z,Winter,Dongsi,4,-17,22,1029,2,NE,36.22,0,0
2015-01-11T05:00:00Z,Winter,Dongsi,3,-17,24,1030,1,NE,40.24,0,0
2015-01-11T06:00:00Z,Winter,Dongsi,3,-17,24,1031,1,NE,44.26,0,0
2015-01-11T07:00:00Z,Winter,Dongsi,3,-17,24,1032,1,NE,49.18,0,0
2015-01-11T08:00:00Z,Winter,Dongsi,3,-17,24,1033,1,NE,52.31,0,0
2015-01-11T09:00:00Z,Winter,Dongsi,3,-17,22,1034,2,cv,0.89,0,0
2015-01-11T10:00:00Z,Winter,Dongsi,8,-17,19,1035,4,cv,1.78,0,0
2015-01-11T11:00:00Z,Winter,Dongsi,6,-16,21,1035,4,cv,2.67,0,0
2015-01-11T12:00:00Z,Winter,Dongsi,12,-17,18,1034,5,cv,4.46,0,0
2015-01-11T13:00:00Z,Winter,Dongsi,21,-16,20,1033,5,cv,5.35,0,0
2015-01-11T14:00:00Z,Winter,Dongsi,23,-16,18,1033,6,cv,7.14,0,0
2015-01-11T15:00:00Z,Winter,Dongsi,21,-16,18,1033,6,cv,8.93,0,0
2015-01-11T16:00:00Z,Winter,Dongsi,37,-15,20,1033,6,cv,9.82,0,0
2015-01-11T17:00:00Z,Winter,Dongsi,64,-16,20,1033,5,SE,3.13,0,0
2015-01-11T18:00:00Z,Winter,Dongsi,86,-14,27,1034,3,SE,4.02,0,0
2015-01-11T19:00:00Z,Winter,Dongsi,101,-14,31,1035,1,cv,0.89,0,0
2015-01-11T20:00:00Z,Winter,Dongsi,99,-9,43,1035,2,SE,1.79,0,0
2015-01-11T21:00:00Z,Winter,Dongsi,90,-8,44,1036,3,SE,4.92,0,0
2015-01-11T22:00:00Z,Winter,Dongsi,105,-11,53,1036,-3,SE,5.81,0,0
2015-01-11T23:00:00Z,Winter,Dongsi,104,-8,58,1037,-1,SE,8.94,0,0
2015-01-12T00:00:00Z,Winter,Dongsi,67,-9,58,1037,-2,SE,10.73,0,0
2015-01-12T01:00:00Z,Winter,Dongsi,64,-9,63,1037,-3,SE,12.52,0,0
2015-01-12T02:00:00Z,Winter,Dongsi,80,-10,67,1037,-5,SE,14.31,0,0
2015-01-12T03:00:00Z,Winter,Dongsi,84,-10,62,1037,-4,SE,16.1,0,0
2015-01-12T04:00:00Z,Winter,Dongsi,86,-9,73,1037,-5,SE,17.89,0,0
2015-01-12T05:00:00Z,Winter,Dongsi,87,-9,68,1037,-4,SE,19.68,0,0
2015-01-12T06:00:00Z,Winter,Dongsi,97,-10,73,1038,-6,SE,20.57,0,0
2015-01-12T07:00:00Z,Winter,Dongsi,102,-9,79,1038,-6,SE,22.36,0,0
2015-01-12T08:00:00Z,Winter,Dongsi,105,-11,73,1038,-7,SE,23.25,0,0
2015-01-12T09:00:00Z,Winter,Dongsi,115,-8,73,1039,-4,NE,1.79,0,0
2015-01-12T10:00:00Z,Winter,Dongsi,135,-7,63,1040,-1,SE,1.79,0,0
2015-01-12T11:00:00Z,Winter,Dongsi,146,-7,59,1039,0,SE,3.58,0,0
2015-01-12T12:00:00Z,Winter,Dongsi,124,-7,55,1038,1,SE,6.71,0,0
2015-01-12T13:00:00Z,Winter,Dongsi,94,-9,40,1037,3,SE,8.5,0,0
2015-01-12T14:00:00Z,Winter,Dongsi,83,-11,34,1036,3,cv,3.13,0,0
2015-01-12T15:00:00Z,Winter,Dongsi,72,-12,30,1035,4,SE,3.13,0,0
2015-01-12T16:00:00Z,Winter,Dongsi,60,-13,29,1035,3,SE,4.92,0,0
2015-01-12T17:00:00Z,Winter,Dongsi,59,-13,34,1035,1,cv,0.89,0,0
2015-01-12T18:00:00Z,Winter,Dongsi,62,-12,42,1035,-1,SE,0.89,0,0
2015-01-12T19:00:00Z,Winter,Dongsi,66,-12,46,1036,-2,SE,2.68,0,0
2015-01-12T20:00:00Z,Winter,Dongsi,142,-13,53,1036,-5,NE,0.89,0,0
2015-01-12T21:00:00Z,Winter,Dongsi,188,-10,62,1036,-4,NE,1.78,0,0
2015-01-12T22:00:00Z,Winter,Dongsi,129,-10,62,1035,-4,SE,0.89,0,0
2015-01-12T23:00:00Z,Winter,Dongsi,108,-11,67,1035,-6,NE,0.89,0,0
2015-01-13T00:00:00Z,Winter,Dongsi,97,-10,62,1034,-4,SE,0.89,0,0
2015-01-13T01:00:00Z,Winter,Dongsi,120,-9,68,1034,-4,SE,1.78,0,0
2015-01-13T02:00:00Z,Winter,Dongsi,208,-9,73,1034,-5,NE,0.89,0,0
2015-01-13T03:00:00Z,Winter,Dongsi,183,-9,73,1034,-5,cv,0.45,0,0
